Date 	Open 	High 	Low 	Close 	Shares Traded 	Turnover (? Cr)
01-01-2021	13996.1	14049.85	13991.35	14018.5	258090905	15873.75
04-01-2021	14104.35	14147.95	13953.75	14132.9	494999295	28705.09
05-01-2021	14075.15	14215.6	14048.15	14199.5	492475349	30872.87
06-01-2021	14240.95	14244.15	14039.9	14146.25	632323316	34615.55
07-01-2021	14253.75	14256.25	14123.1	14137.35	559173512	33446.47
08-01-2021	14258.4	14367.3	14221.65	14347.25	613472067	37615.19
11-01-2021	14474.05	14498.2	14383.1	14484.75	672878543	40186.21
12-01-2021	14473.8	14590.65	14432.85	14563.45	929566952	44976.12
13-01-2021	14639.8	14653.35	14435.7	14564.85	873956688	44682.93
14-01-2021	14550.05	14617.8	14471.5	14595.6	620194977	37534.37
15-01-2021	14594.35	14617.45	14357.85	14433.7	789557216	39912.18
18-01-2021	14453.3	14459.15	14222.8	14281.3	762043554	41716.22
19-01-2021	14371.65	14546.05	14350.85	14521.15	546108304	33084.79
20-01-2021	14538.3	14666.45	14517.55	14644.7	623069963	34639.36
21-01-2021	14730.95	14753.55	14517.25	14590.35	704646957	41939.04
22-01-2021	14583.4	14619.9	14357.75	14371.9	776750347	45322.54
25-01-2021	14477.8	14491.1	14218.6	14238.9	618631493	42278.39
27-01-2021	14237.95	14237.95	13929.3	13967.5	660711117	40579.24
28-01-2021	13810.4	13898.25	13713.25	13817.55	637871621	39881.82
29-01-2021	13946.6	13966.85	13596.75	13634.6	753206122	46918.29
01-02-2021	13758.6	14336.35	13661.75	14281.2	870529495	51840.22
02-02-2021	14481.1	14731.7	14469.15	14647.85	914965225	58177.74
03-02-2021	14754.9	14868.85	14574.15	14789.95	869477087	49312.35
04-02-2021	14789.05	14913.7	14714.75	14895.65	884686415	47811.8
05-02-2021	14952.6	15014.65	14864.75	14924.25	935629058	54394.63
08-02-2021	15064.3	15159.9	15041.05	15115.8	671242694	40483.96
09-02-2021	15164.15	15257.1	15064.3	15109.3	713279133	41930.72
10-02-2021	15119.05	15168.25	14977.2	15106.5	624791133	40707.97
11-02-2021	15073.25	15188.5	15065.4	15173.3	500122414	30933.44
12-02-2021	15186.2	15243.5	15081	15163.3	571808807	32304.24
15-02-2021	15270.3	15340.15	15243.4	15314.7	455959720	28955.29
16-02-2021	15371.45	15431.75	15242.2	15313.45	648545320	36550.03
17-02-2021	15279.9	15314.3	15170.75	15208.9	504767226	34073.12
18-02-2021	15238.7	15250.75	15078.05	15118.95	770629541	37093.99
19-02-2021	15074.8	15144.05	14898.2	14981.75	712213821	37419.34
22-02-2021	14999.05	15010.1	14635.05	14675.7	609898454	37578.07
23-02-2021	14782.25	14854.5	14651.85	14707.8	744092809	39508.09
24-02-2021	14729.15	15008.8	14723.05	14982	403754669	23723.99
25-02-2021	15079.85	15176.5	15065.35	15097.35	803883875	42983.07
26-02-2021	14888.6	14919.45	14467.75	14529.15	1103644519	65012.96
01-03-2021	14702.5	14806.8	14638.55	14761.55	507302977	30030.57
02-03-2021	14865.3	14959.1	14760.8	14919.1	621723916	34647.26
03-03-2021	15064.4	15273.15	14995.8	15245.6	544205583	34567.73
